Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,849,879,-1.000,-1.000,91
1,2,849,879,0.000,0.000,91
1,3,849,879,0.000,0.000,91
1,4,849,879,0.000,0.000,88
1,5,849,879,0.000,0.000,82
1,6,849,867,1.548,0.774,92
1,7,849,867,0.000,0.000,85
1,8,849,867,0.000,0.000,84
1,9,849,867,0.000,0.000,85
1,10,852,864,0.547,0.274,87
1,11,852,864,0.000,0.000,87
1,12,852,864,0.000,0.000,82
1,13,852,864,0.000,0.000,85
1,14,852,864,0.000,0.000,86
1,15,852,864,0.000,0.000,88
1,16,852,864,0.000,0.000,88
1,17,852,864,0.000,0.000,86
1,18,852,864,0.000,0.000,86
1,19,852,864,0.000,0.000,91
1,20,852,864,0.000,0.000,91
1,21,852,864,0.000,0.000,91
1,22,852,864,0.000,0.000,96
1,23,852,864,0.000,0.000,87
1,24,852,864,0.000,0.000,90
1,25,879,861,3.504,1.752,91
1,26,879,861,0.000,0.000,90
1,27,879,861,0.000,0.000,88
1,28,879,861,0.000,0.000,82
1,29,879,861,0.000,0.000,83
1,30,879,861,0.000,0.000,89
1,31,879,861,0.000,0.000,93
1,32,879,861,0.000,0.000,93
1,33,879,861,0.000,0.000,94
1,34,879,861,0.000,0.000,94
1,35,879,861,0.000,0.000,97
1,36,879,861,0.000,0.000,90
1,37,879,861,0.000,0.000,90
1,38,879,861,0.000,0.000,85
1,39,879,861,0.000,0.000,85
1,40,879,861,0.000,0.000,81
1,41,879,861,0.000,0.000,85
1,42,879,861,0.000,0.000,82
1,43,879,861,0.000,0.000,81
1,44,879,861,0.000,0.000,80
1,45,879,861,0.000,0.000,76
1,46,879,861,0.000,0.000,76
1,47,879,861,0.000,0.000,83
1,48,879,861,0.000,0.000,76
1,49,879,861,0.000,0.000,82
1,50,879,861,0.000,0.000,79
1,51,879,861,0.000,0.000,83
1,52,879,861,0.000,0.000,85
1,53,879,861,0.000,0.000,85
1,54,894,867,2.084,1.042,83
1,55,894,867,0.000,0.000,77
1,56,894,867,0.000,0.000,76
1,57,894,867,0.000,0.000,85
1,58,894,867,0.000,0.000,81
1,59,894,867,0.000,0.000,76
1,60,894,867,0.000,0.000,72
1,61,894,867,0.000,0.000,72
1,62,906,870,1.596,0.798,82
1,63,906,870,0.000,0.000,85
1,64,906,870,0.000,0.000,95
1,65,906,870,0.000,0.000,83
1,66,906,870,0.000,0.000,82
1,67,906,870,0.000,0.000,82
1,68,906,870,0.000,0.000,82
1,69,906,870,0.000,0.000,80
1,70,906,870,0.000,0.000,79
1,71,906,870,0.000,0.000,89
1,72,918,858,2.189,1.095,66
1,73,918,858,0.000,0.000,77
1,74,918,858,0.000,0.000,78
1,75,918,858,0.000,0.000,78
1,76,921,840,2.354,1.177,77
1,77,921,840,0.000,0.000,84
1,78,921,840,0.000,0.000,82
1,79,921,840,0.000,0.000,83
1,80,921,840,0.000,0.000,79
1,81,921,840,0.000,0.000,83
1,82,921,840,0.000,0.000,83
1,83,921,840,0.000,0.000,82
1,84,921,840,0.000,0.000,69
1,85,921,840,0.000,0.000,69
1,86,921,840,0.000,0.000,68
1,87,912,840,1.161,0.581,73
1,88,912,840,0.000,0.000,76
1,89,912,840,0.000,0.000,76
1,90,912,840,0.000,0.000,78
1,91,912,840,0.000,0.000,74
1,92,912,840,0.000,0.000,76
1,93,912,840,0.000,0.000,81
1,94,912,840,0.000,0.000,81
1,95,912,840,0.000,0.000,86
1,96,912,840,0.000,0.000,86
1,97,930,837,2.354,1.177,80
1,98,930,837,0.000,0.000,80
1,99,930,837,0.000,0.000,79
1,100,930,837,0.000,0.000,81
1,101,930,837,0.000,0.000,74
1,102,930,837,0.000,0.000,73
1,103,930,837,0.000,0.000,73
1,104,930,837,0.000,0.000,69
1,105,930,837,0.000,0.000,71
1,106,930,837,0.000,0.000,72
1,107,930,837,0.000,0.000,79
1,108,930,837,0.000,0.000,75
1,109,930,837,0.000,0.000,71
1,110,930,837,0.000,0.000,74
1,111,930,837,0.000,0.000,74
1,112,930,837,0.000,0.000,77
1,113,930,837,0.000,0.000,77
1,114,930,837,0.000,0.000,72
1,115,930,837,0.000,0.000,80
1,116,930,837,0.000,0.000,90
1,117,930,837,0.000,0.000,125
1,118,930,837,0.000,0.000,125
1,119,954,822,3.651,1.825,67
1,120,954,822,0.000,0.000,76
1,121,954,822,0.000,0.000,75
1,122,954,822,0.000,0.000,75
1,123,954,822,0.000,0.000,74
1,124,954,822,0.000,0.000,71
1,125,954,822,0.000,0.000,71
1,126,954,822,0.000,0.000,72
1,127,954,822,0.000,0.000,79
1,128,954,822,0.000,0.000,76
1,129,954,822,0.000,0.000,91
1,130,954,822,0.000,0.000,108
1,131,954,822,0.000,0.000,100
1,132,954,822,0.000,0.000,100
1,133,954,822,0.000,0.000,110
1,134,954,822,0.000,0.000,96
1,135,954,822,0.000,0.000,91
1,136,954,822,0.000,0.000,86
1,137,954,822,0.000,0.000,90
1,138,981,825,3.504,1.752,74
1,139,981,825,0.000,0.000,79
1,140,981,825,0.000,0.000,79
1,141,981,825,0.000,0.000,75
1,142,981,825,0.000,0.000,82
1,143,981,825,0.000,0.000,75
1,144,981,825,0.000,0.000,79
1,145,981,825,0.000,0.000,85
1,146,981,825,0.000,0.000,85
1,147,981,825,0.000,0.000,85
1,148,981,825,0.000,0.000,89
1,149,981,825,0.000,0.000,89
1,150,981,825,0.000,0.000,91
1,151,981,825,0.000,0.000,96
1,152,981,825,0.000,0.000,98
1,153,981,825,0.000,0.000,89
1,154,981,825,0.000,0.000,89
1,155,981,825,0.000,0.000,85
1,156,981,825,0.000,0.000,86
1,157,981,825,0.000,0.000,79
1,158,981,825,0.000,0.000,80
1,159,981,825,0.000,0.000,76
1,160,981,825,0.000,0.000,74
1,161,981,825,0.000,0.000,74
1,162,981,825,0.000,0.000,81
1,163,981,825,0.000,0.000,81
1,164,981,825,0.000,0.000,85
1,165,981,825,0.000,0.000,74
1,166,981,825,0.000,0.000,78
1,167,981,825,0.000,0.000,79
1,168,981,825,0.000,0.000,79
1,169,981,825,0.000,0.000,87
1,170,981,825,0.000,0.000,79
1,171,981,825,0.000,0.000,85
1,172,981,825,0.000,0.000,82
1,173,981,825,0.000,0.000,80
1,174,981,825,0.000,0.000,69
1,175,981,825,0.000,0.000,69
1,176,981,825,0.000,0.000,69
1,177,981,825,0.000,0.000,81
1,178,981,825,0.000,0.000,85
1,179,981,825,0.000,0.000,82
1,180,981,825,0.000,0.000,82
1,181,981,825,0.000,0.000,81
1,182,981,825,0.000,0.000,81
1,183,981,825,0.000,0.000,85
1,184,981,825,0.000,0.000,85
1,185,993,786,5.264,2.632,77
1,186,993,786,0.000,0.000,79
1,187,993,786,0.000,0.000,74
1,188,993,786,0.000,0.000,74
1,189,993,786,0.000,0.000,79
1,190,993,786,0.000,0.000,79
1,191,993,786,0.000,0.000,76
1,192,993,786,0.000,0.000,77
1,193,993,786,0.000,0.000,74
1,194,993,786,0.000,0.000,76
1,195,993,786,0.000,0.000,74
1,196,996,777,1.224,0.612,77
1,197,996,777,0.000,0.000,77
1,198,996,777,0.000,0.000,76
1,199,996,777,0.000,0.000,76
1,200,996,777,0.000,0.000,81
1,201,996,777,0.000,0.000,85
1,202,996,777,0.000,0.000,80
1,203,1002,759,2.448,1.224,81
1,204,1002,759,0.000,0.000,81
1,205,1002,759,0.000,0.000,82
1,206,1002,759,0.000,0.000,82
1,207,1002,759,0.000,0.000,84
1,208,1002,759,0.000,0.000,85
1,209,1002,759,0.000,0.000,80
1,210,1002,759,0.000,0.000,69
1,211,999,807,6.204,3.102,84
1,212,999,807,0.000,0.000,69
1,213,999,807,0.000,0.000,70
1,214,999,807,0.000,0.000,72
1,215,999,807,0.000,0.000,75
1,216,990,843,4.787,2.393,79
1,217,990,843,0.000,0.000,73
1,218,990,843,0.000,0.000,80
1,219,990,843,0.000,0.000,80
1,220,990,843,0.000,0.000,91
1,221,978,885,5.635,2.817,87
1,222,978,885,0.000,0.000,102
1,223,978,885,0.000,0.000,105
1,224,978,885,0.000,0.000,103
1,225,978,885,0.000,0.000,89
1,226,978,885,0.000,0.000,87
1,227,978,885,0.000,0.000,85
1,228,978,885,0.000,0.000,95
1,229,978,885,0.000,0.000,89
